Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.25087E-4,4.763276072,0.225918631,0.104338645,0.017897092,0
2.36531E-4,5.017161522,0.235931459,0.10328278,0.022371365,0
2.42555E-4,5.257878253,0.241150289,0.102322903,0.022371365,0
2.55158E-4,5.506980131,0.251953241,0.101363026,0.022371365,0
2.61916E-4,5.765407096,0.257682156,0.100403148,0.024608501,0
2.6785E-4,6.004623185,0.262677318,0.099539259,0.024608501,0
2.77855E-4,6.251045052,0.271021886,0.09867537,0.029082774,0
2.91095E-4,6.509196553,0.281919894,0.09781148,0.031319911,0
3.02295E-4,6.778028522,0.291011792,0.096947591,0.031319911,0
3.07433E-4,7.022441552,0.29514402,0.096179689,0.035794183,0
3.13223E-4,7.271002006,0.299771918,0.095411787,0.040268456,0
3.22244E-4,7.525748069,0.306922109,0.094643886,0.044742729,0
3.27087E-4,7.753233505,0.310730382,0.093971972,0.044742729,0
3.32602E-4,8.018370443,0.315041204,0.09320407,0.049217002,0
3.41705E-4,8.254771181,0.322097915,0.092532156,0.053691275,0
3.47895E-4,8.530846739,0.326855314,0.091764254,0.055928412,0
3.53313E-4,8.776069263,0.330991918,0.09109234,0.060402685,0
3.5549E-4,9.0241317,0.332646523,0.090420426,0.062639821,0
3.67045E-4,9.27737684,0.341362323,0.089748512,0.064876957,0
3.71871E-4,9.536650832,0.344968469,0.089076598,0.06935123,0
3.82064E-4,9.764207786,0.352520722,0.088500672,0.06935123,0
3.90913E-4,10.035526122,0.359006414,0.087828758,0.07606264,0
3.96094E-4,10.272137021,0.362774003,0.087252832,0.07606264,0
4.0458E-4,10.512050694,0.368896082,0.086676905,0.080536913,0
4.07067E-4,10.755557566,0.370679069,0.086100979,0.080536913,0
4.10031E-4,11.000876885,0.372797809,0.085525053,0.082774049,0
4.15806E-4,11.290167184,0.376905322,0.084853139,0.085011186,0
4.20581E-4,11.541306189,0.38028095,0.084277213,0.085011186,0
