x,y,species cloglog values
324.0,324.0,5.7908956E-6
325.0,325.0,8.872378E-7
326.0,326.0,4.0239478E-8
327.0,327.0,2.7728674E-5
328.0,328.0,1.00159115E-4
329.0,329.0,2.6513567E-6
330.0,330.0,0.07462368
331.0,331.0,0.001922159
332.0,332.0,1.7393702E-7
333.0,333.0,0.0024550655
334.0,334.0,0.11094997
335.0,335.0,0.04858804
336.0,336.0,3.957174E-9
337.0,337.0,8.4603946E-10
338.0,338.0,6.4545566E-5
339.0,339.0,1.3192202E-5
340.0,340.0,1.766437E-10
341.0,341.0,1.6469348E-6
342.0,342.0,2.235176E-5
343.0,343.0,2.0256327E-4
344.0,344.0,2.7570618E-8
345.0,345.0,9.1344754E-10
346.0,346.0,9.135006E-5
347.0,347.0,1.2153713E-8
348.0,348.0,3.3781422E-9
349.0,349.0,1.5532751E-7
350.0,350.0,9.0672934E-8
351.0,351.0,4.0690284E-10
352.0,352.0,1.2284876E-5
353.0,353.0,1.1168355E-10
354.0,354.0,3.863432E-6
355.0,355.0,3.338554E-7
356.0,356.0,7.8773587E-7
357.0,357.0,2.7623673E-7
358.0,358.0,5.4313823E-8
359.0,359.0,0.00169943
360.0,360.0,6.310031E-8
361.0,361.0,3.5986602E-7
362.0,362.0,0.7534167
363.0,363.0,1.436383E-6
364.0,364.0,5.0677795E-10
365.0,365.0,1.2401966E-4
366.0,366.0,0.583639
367.0,367.0,0.004023292
368.0,368.0,1.1148952E-6
369.0,369.0,0.0024255353
370.0,370.0,7.8194205E-7
371.0,371.0,7.686251E-6
372.0,372.0,1.017761E-5
373.0,373.0,7.727187E-8
374.0,374.0,3.6055186E-5
375.0,375.0,0.003273492
376.0,376.0,7.1974297E-4
377.0,377.0,1.3934741E-5
378.0,378.0,2.354889E-6
379.0,379.0,0.6856472
380.0,380.0,0.0019833422
381.0,381.0,0.0013285327
382.0,382.0,7.513348E-8
383.0,383.0,1.1420156E-5
384.0,384.0,1.5685343E-9
385.0,385.0,6.8134295E-7
386.0,386.0,7.252366E-7
387.0,387.0,1.1672053E-5
388.0,388.0,0.041018337
389.0,389.0,3.8511803E-6
390.0,390.0,0.0011377186
391.0,391.0,4.3196176E-4
392.0,392.0,0.23394932
393.0,393.0,1.6804218E-4
394.0,394.0,7.6048326E-7
395.0,395.0,0.04365629
396.0,396.0,4.1232287E-8
397.0,397.0,1.1046652E-5
398.0,398.0,2.1102713E-4
399.0,399.0,2.1737331E-4
400.0,400.0,8.510014E-5
401.0,401.0,0.0013071431
402.0,402.0,2.0818457E-6
403.0,403.0,1.15049346E-7
404.0,404.0,5.5598194E-4
405.0,405.0,0.08214024
406.0,406.0,4.2558747E-7
407.0,407.0,1.600251E-10
408.0,408.0,1.341147E-5
409.0,409.0,1.3065674E-5
410.0,410.0,2.2756725E-8
411.0,411.0,2.5499544E-8
412.0,412.0,0.29514402
413.0,413.0,6.679842E-4
414.0,414.0,0.0011077907
415.0,415.0,1.062001E-6
416.0,416.0,2.40134E-5
417.0,417.0,1.3476467E-5
418.0,418.0,1.2796206E-4
419.0,419.0,4.452473E-6
420.0,420.0,0.013000064
421.0,421.0,9.916846E-7
422.0,422.0,8.587882E-4
423.0,423.0,1.5535996E-5
424.0,424.0,0.428229
425.0,425.0,2.3269224E-5
426.0,426.0,2.3596829E-6
427.0,427.0,5.3832114E-6
428.0,428.0,0.002137661
429.0,429.0,4.913337E-8
430.0,430.0,8.3676954E-11
431.0,431.0,0.7940394
432.0,432.0,2.864549E-7
433.0,433.0,0.06575847
434.0,434.0,7.8671926E-4
435.0,435.0,1.7801267E-5
436.0,436.0,1.89388E-4
437.0,437.0,0.0010960827
438.0,438.0,3.2752194E-4
439.0,439.0,9.164003E-5
440.0,440.0,1.0866074E-9
441.0,441.0,4.0040776E-4
442.0,442.0,3.966588E-4
443.0,443.0,9.641725E-5
444.0,444.0,1.2267838E-6
445.0,445.0,0.22177604
446.0,446.0,0.43942922
447.0,447.0,1.897145E-9
448.0,448.0,1.0911086E-6
449.0,449.0,0.0038689019
450.0,450.0,4.412452E-6
451.0,451.0,8.181972E-5
452.0,452.0,6.5016636E-8
453.0,453.0,2.0279742E-6
454.0,454.0,1.330458E-10
455.0,455.0,5.3046407E-9
456.0,456.0,4.6667333E-7
457.0,457.0,3.8450015E-8
458.0,458.0,5.4785387E-6
459.0,459.0,2.2250742E-7
460.0,460.0,8.9438646E-7
461.0,461.0,1.3205978E-5
462.0,462.0,3.646795E-5
463.0,463.0,0.010602962
464.0,464.0,1.1258725E-9
465.0,465.0,0.46552372
466.0,466.0,1.8108965E-6
467.0,467.0,4.741E-5
468.0,468.0,3.1287811E-6
469.0,469.0,3.5018804E-6
470.0,470.0,2.3463503E-5
471.0,471.0,3.1528954E-5
472.0,472.0,7.840779E-7
473.0,473.0,1.9201894E-5
474.0,474.0,3.116195E-7
475.0,475.0,1.2436554E-4
476.0,476.0,2.765565E-8
477.0,477.0,1.572609E-8
478.0,478.0,0.5014181
479.0,479.0,1.59783E-4
