Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.31896E-4,11.500740336,0.386884658,0.084486736,0.087248322,0
4.35558E-4,11.761269889,0.389422556,0.083910035,0.089485459,0
4.38574E-4,12.023372234,0.391504996,0.083333333,0.089485459,0
4.4098E-4,12.287316604,0.39316095,0.082756632,0.091722595,0
4.46472E-4,12.510036056,0.396924425,0.082276048,0.093959732,0
4.51646E-4,12.779829956,0.400448308,0.081699346,0.096196868,0
4.55469E-4,13.006624164,0.40303862,0.081218762,0.098434004,0
4.58246E-4,13.280777774,0.404913295,0.080642061,0.100671141,0
4.63584E-4,13.511411451,0.408500669,0.080161476,0.105145414,0
4.69014E-4,13.791380291,0.412127628,0.079584775,0.109619687,0
4.72574E-4,14.026588172,0.414493249,0.079104191,0.116331096,0
4.80023E-4,14.264178012,0.419412964,0.078623606,0.116331096,0
4.84157E-4,14.505387514,0.422124684,0.078143022,0.118568233,0
4.88443E-4,14.797107897,0.424923715,0.077566321,0.118568233,0
4.91438E-4,15.042304775,0.426870893,0.077085736,0.123042506,0
4.98451E-4,15.290299124,0.431405701,0.076605152,0.127516779,0
5.04428E-4,15.541315717,0.435242412,0.076124567,0.131991051,0
5.09538E-4,15.79474105,0.438501628,0.075643983,0.136465324,0
5.16591E-4,16.051569727,0.442969345,0.075163399,0.136465324,0
5.1954E-4,16.258817097,0.444826692,0.074778931,0.136465324,0
5.26169E-4,16.520493873,0.448979683,0.074298347,0.136465324,0
5.28893E-4,16.784438965,0.450677433,0.073817762,0.138702461,0
5.41247E-4,17.051999771,0.458310724,0.073337178,0.14541387,0
5.44619E-4,17.269107722,0.460375856,0.07295271,0.149888143,0
5.5045E-4,17.542711338,0.463928075,0.072472126,0.149888143,0
5.5702E-4,17.764451293,0.467902649,0.072087659,0.149888143,0
5.64023E-4,18.045760158,0.472106148,0.071607074,0.149888143,0
5.715E-4,18.272811178,0.476558396,0.071222607,0.154362416,0
5.74978E-4,18.502150645,0.47861657,0.070838139,0.156599553,0
5.83708E-4,18.791028387,0.483746609,0.070357555,0.158836689,0
5.86519E-4,19.025188614,0.485387675,0.069973087,0.165548098,0
5.92488E-4,19.261733916,0.488855534,0.06958862,0.170022371,0
6.00688E-4,19.559953841,0.49358065,0.069108035,0.172259508,0
6.0437E-4,19.801197204,0.495688324,0.068723568,0.174496644,0
6.08322E-4,20.043737367,0.497940666,0.0683391,0.174496644,0
6.15526E-4,20.289303126,0.502020784,0.067954633,0.174496644,0
6.16727E-4,20.53583621,0.502697636,0.067570165,0.174496644,0
6.22886E-4,20.783279165,0.506154903,0.067185698,0.176733781,0
6.31239E-4,21.034245406,0.510805786,0.06680123,0.178970917,0
6.34716E-4,21.28762322,0.512728568,0.066416763,0.178970917,0
6.37607E-4,21.542216786,0.51432127,0.066032295,0.181208054,0
6.41595E-4,21.798340066,0.516510337,0.065647828,0.18344519,0
6.46927E-4,22.05670445,0.519421501,0.06526336,0.185682327,0
6.49728E-4,22.251377217,0.520943549,0.06497501,0.185682327,0
6.55034E-4,22.512370385,0.523814148,0.064590542,0.1901566,0
6.57528E-4,22.774866836,0.525157594,0.064206075,0.1901566,0
6.62811E-4,23.039214219,0.527990505,0.063821607,0.192393736,0
6.71194E-4,23.306479086,0.532451225,0.06343714,0.196868009,0
6.73747E-4,23.508522021,0.533801274,0.063148789,0.201342282,0
6.8218E-4,23.781055001,0.538233001,0.062764321,0.201342282,0
6.90986E-4,24.055341221,0.542816103,0.062379854,0.201342282,0
6.95748E-4,24.263760234,0.545275357,0.062091503,0.201342282,0
7.03301E-4,24.543429279,0.549149121,0.061707036,0.203579418,0
7.06173E-4,24.755165918,0.550613604,0.061418685,0.208053691,0
