X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
306.0,306.0,train,0.001041447357799181,45.59067959540327,0.6926082004048622
307.0,307.0,train,7.032223042233634E-7,0.03292497583013338,7.962124292505424E-4
308.0,308.0,train,0.0013847683293201777,73.77951237976453,0.7916439213738938
309.0,309.0,train,5.858442280724762E-4,18.96897916977297,0.48499421839903223
310.0,310.0,train,0.001122234874428156,54.9752895106122,0.7194880516550106
311.0,311.0,train,0.0011120592835271881,53.26396051928816,0.7162362394357545
312.0,312.0,train,0.0012623609581912984,67.62834213962272,0.7606570253042851
313.0,313.0,train,8.657963143204338E-4,33.25998659198148,0.6249420636425562
314.0,314.0,train,0.0012267216267910156,65.16554501858867,0.7507975269048568
315.0,315.0,train,0.0010527074595679186,46.44005144630407,0.6965038265916164
316.0,316.0,train,0.0016984590741651341,92.51400346871797,0.8539519563796196
317.0,317.0,train,0.0016774073548227297,91.44428911022946,0.8504275924897854
318.0,318.0,train,0.0012034767449857853,63.41153933974028,0.7441491014687309
319.0,319.0,train,0.0011817596729121762,61.03763427445725,0.7377774801412602
320.0,320.0,train,7.053837686149907E-4,24.696980263106134,0.5502115121383415
321.0,321.0,train,6.664408774446028E-4,23.154941132092933,0.5299272424084951
322.0,322.0,train,7.701001309209956E-4,27.74803876931496,0.5820030347652433
323.0,323.0,train,8.2655054524986E-4,31.198336020936257,0.6078934487944978
324.0,324.0,train,0.0011908935921624447,61.75119927377726,0.7404764111668067
325.0,325.0,train,2.617685615583014E-4,5.797266677785317,0.25658541700567317
326.0,326.0,train,4.625345945333766E-4,13.466070828776086,0.40779720361283434
327.0,327.0,train,4.956942284336205E-4,15.19281391510994,0.42962747075274943
328.0,328.0,train,0.0010838603215098496,49.36221418664097,0.7070263676238521
329.0,329.0,train,5.705476968293796E-4,18.243892974678,0.4759933981109884
330.0,330.0,train,4.457913992658195E-4,12.482435359978973,0.3964590399716559
331.0,331.0,train,3.8327044753549446E-4,9.520606403825145,0.35216860297418995
332.0,332.0,train,0.001866584935179948,97.63794878575666,0.8792766046111478
333.0,333.0,train,8.082220679861469E-4,30.304661178793744,0.5996680755482742
334.0,334.0,train,0.0015194115895943406,78.87911788530498,0.8211155459504632
